Peso;elastic_energy;CO2;p1_x;p1_y;p1_z;p1_T;p2_x;p2_y;p2_z;p2_T;p3_x;p3_y;p3_z;p3_T;p4_x;p4_y;p4_z;p4_T;p5_x;p5_y;p5_z;p5_T
34788,27400863029;29,381776261518155;90449,51242243875;1,5489052633631825e-05;4,476388916858941e-05;8,824631519998378e-06;0,0;-2,7845072853514473e-05;4,655271316930338e-05;-0,00013056804688043962;0,0;-3,766071533511997e-05;-1,8036933937399022e-07;-0,00021943087367595746;0,0;-2,83585007431779e-05;-4,687796315859542e-05;-0,00013067326948267027;0,0;-8,893486750154891e-06;-4,547835356350453e-05;1,0092944021845435e-05;0,0
46053,77530280207;27,11322958085396;119739,81578728538;1,7307326440729305e-05;4,629670929673987e-05;1,2234061198199516e-05;0,0;-2,8232380712848264e-05;4,7541885849533475e-05;-9,900325792496844e-05;0,0;-4,842723831403012e-05;7,498506420483762e-08;-0,0001748612179286758;0,0;-2,8289716737175564e-05;-4,725824374812512e-05;-9,84788951141731e-05;0,0;-6,01194830707297e-06;-4,5575571691251925e-05;1,1166886115439606e-05;0,0
33715,9588953171;27,275193092743184;87661,49312782446;1,4950248623293827e-05;4,6149969113905845e-05;1,2125786930251964e-05;0,0;-3,512291879000038e-05;4,476553418293023e-05;-0,00012294806015520642;0,0;-4,510443706510775e-05;8,708486332564863e-08;-0,0002053777318159531;0,0;-3,4201917286849485e-05;-4,438723842601695e-05;-0,00012223014197471034;0,0;-1,0415382508015231e-05;-4,508098278350076e-05;1,0399228408924222e-05;0,0
39825,72579078187;27,4935959442502;103546,88705603287;1,4703577875473957e-05;4,0901010776893673e-05;8,198263050072002e-06;0,0;-1,986672850220262e-05;4,498015659167795e-05;-0,00011470684759481388;0,0;-3,293994799412869e-05;-7,205377377936063e-08;-0,00020267260274325623;0,0;-2,010821789268734e-05;-4,545717932335412e-05;-0,00011585299503868102;0,0;-5,7688244665950205e-06;-4,199700262867857e-05;9,264371478202111e-06;0,0
44187,3210728136;30,337881952285834;114887,03478931535;1,2654147787502116e-05;3,612359789441697e-05;9,047298576331748e-06;0,0;-1,8505651176677036e-05;3,7285217706271636e-05;-0,00011509250476476372;0,0;-2,3904601642510832e-05;-8,867159062192414e-08;-0,00020244004208722633;0,0;-1,8668235685730858e-05;-3,728854318330929e-05;-0,00011452127930656878;0,0;-7,618148583922162e-06;-3,602811667023539e-05;9,214306923132021e-06;0,0
37467,51251973827;24,16283502163779;97415,53255131951;1,5290073335720947e-05;4,668666658498544e-05;1,1091078990332813e-05;0,0;-4,329451114880285e-05;4,5121529413898324e-05;-9,746947386767516e-05;0,0;-6,454443786508216e-05;7,58750016836692e-09;-0,00016454766801860728;0,0;-4,309952780656805e-05;-4,502383186598139e-05;-9,741847587912795e-05;0,0;-1,1398909821283427e-05;-4,634361935479416e-05;1,0520983634299028e-05;0,0
28302,705993172134;26,319276307994958;73587,03558224755;1,7709172666239528e-05;4,9650972171334084e-05;1,0323648704525887e-05;0,0;-3,6921326797903945e-05;5,532242786403476e-05;-0,00014117776050010439;0,0;-6,163276309552497e-05;-1,3937191370971833e-07;-0,00025736037198029817;0,0;-3,7475602372130776e-05;-5,576116843865271e-05;-0,00014271125956153121;0,0;-9,230406292260286e-06;-5,07971893123412e-05;1,2020257010309006e-05;0,0
43638,34344433047;27,656250304646242;113459,69295525923;1,3561458494730478e-05;4,217675718701838e-05;8,087231136173647e-06;0,0;-2,715061481050016e-05;3,9497538925925924e-05;-0,00010417127034210268;0,0;-3,671019203331803e-05;8,727384391123191e-08;-0,00017129169401606452;0,0;-2,6574811403881256e-05;-3,931642988556939e-05;-0,00010398596021615626;0,0;-8,264735919645673e-06;-4,170016882299874e-05;7,223788671315382e-06;0,0
38071,887358462554;30,356067941161736;98986,90713200264;1,5510270010517826e-05;4,557328605559548e-05;9,814621678678247e-06;0,0;-2,3455093701083593e-05;4,596131497109659e-05;-0,00013034544963523622;0,0;-3,2745198293716813e-05;-5,711718974364151e-08;-0,0002221234840792116;0,0;-2,323892585214675e-05;-4,589616551658667e-05;-0,00013036334366971536;0,0;-8,532138194487704e-06;-4,542204332633737e-05;9,52932808611793e-06;0,0
38680,783015275214;26,826819929471394;100570,03583971557;1,3949227949669221e-05;3,914467266316223e-05;8,477226077450794e-06;0,0;-2,403498634885988e-05;4,113803052827765e-05;-0,00011413178521197873;0,0;-3,4611082379650476e-05;-9,390924931579562e-08;-0,00019711951125454282;0,0;-2,3996786361713154e-05;-4,1225965916949e-05;-0,00011361096332694776;0,0;-6,405681230017106e-06;-3,9042324193434545e-05;8,953168027035496e-06;0,0
32272,869017143414;28,77667864486266;83909,45944457287;1,5771510527001586e-05;4,769611850832478e-05;1,1801341628340886e-05;0,0;-4,092925809347433e-05;4,989651702501528e-05;-0,00013056635307452405;0,0;-5,9646011817772534e-05;-1,9835761768155283e-07;-0,000224183446376747;0,0;-4,158083763460164e-05;-5,023598037159378e-05;-0,00013075752119708143;0,0;-1,4085085736524749e-05;-4,838353994773516e-05;1,299993408929223e-05;0,0
46402,60000811796;25,508095249031033;120646,7600211067;1,3641987050888344e-05;3,925891659513667e-05;8,983090765503725e-06;0,0;-2,3012725170377858e-05;3,7482929230633464e-05;-9,229012263322551e-05;0,0;-3,244568734277708e-05;8,982551515707476e-08;-0,00015685792213379537;0,0;-2,2820911835308694e-05;-3,729296512260577e-05;-9,19387115088427e-05;0,0;-6,4642878255812224e-06;-3,864080689262296e-05;8,153732433840198e-06;0,0
32092,159364268944;30,067867031580917;83439,61434709925;1,5443718541682823e-05;4,590007396741874e-05;1,2296127393462077e-05;0,0;-2,401016438068628e-05;5,15953529818557e-05;-0,00014667796618237202;0,0;-2,9131471516608974e-05;3,920591406636018e-08;-0,0002544459718751634;0,0;-2,3047725120477285e-05;-5,114256508740296e-05;-0,00014589424388147609;0,0;-9,855808736781038e-06;-4,489629533106211e-05;1,0699988258221682e-05;0,0
40170,039670789665;25,01797030795139;104442,10314405314;1,543339645154016e-05;4,476714941923618e-05;9,691362134901577e-06;0,0;-3,7420239166502396e-05;4,362728546044214e-05;-0,0001027486653959545;0,0;-5,900065626061191e-05;-1,5729391877540513e-08;-0,00017742894228126791;0,0;-3,81462220743968e-05;-4,3689810922609676e-05;-0,00010223849534069867;0,0;-9,934157827912218e-06;-4,495575322563848e-05;1,0447931423750099e-05;0,0
27694,376201248866;26,46355057129515;72005,37812324705;1,8667389104528375e-05;5,379823324045654e-05;1,3350254908994775e-05;0,0;-4,808837181889443e-05;5,528751054045827e-05;-0,00013866487409257294;0,0;-7,56679898678209e-05;-1,4783289130977284e-07;-0,0002417368547684778;0,0;-4,768780977188677e-05;-5,4978869203103334e-05;-0,0001380066278673569;0,0;-1,0053546033709449e-05;-5,314260849940459e-05;1,2310144164453618e-05;0,0
43218,54188692466;28,173711596124186;112368,20890600412;1,3235307244218929e-05;3,90789258461665e-05;7,685469103717219e-06;0,0;-1,7830484911055676e-05;3,863499254726629e-05;-0,00010882657782119389;0,0;-2,3824544480024836e-05;-3,4381436365845595e-08;-0,00018314866118242828;0,0;-1,810593701958585e-05;-3,8719766427319755e-05;-0,0001086631816966761;0,0;-7,915674678087262e-06;-3,920495309207979e-05;8,160646273031225e-06;0,0
34039,82281728288;27,193540637613555;88503,5393249355;1,5128949427584526e-05;4,1250598495665455e-05;9,445948106310584e-06;0,0;-2,5226556535761478e-05;4,850243959737345e-05;-0,00012390460784559158;0,0;-4,078848734697831e-05;-4,9307714623854975e-08;-0,00022456192083868598;0,0;-2,5243391526021767e-05;-4,8566650032356015e-05;-0,0001239391873434804;0,0;-5,4449616670322935e-06;-4,129511534746789e-05;9,258487289574304e-06;0,0
