E;mu;ro;k;c;a;mesh_size;L;b;h;t_frontal;t_posterior;t_origen;t_final;t_centro_sup;t_centro_inf;t_lat_sup;t_lat_inf;n_nervios_long;t_nervios_long;n_nervios_transv;t_nervios_transv;prctg_ventana_horizontal;prctg_ventana_vertical;diam_ventana;diam_agujero;L_apoyo;T_amb;h_conv;F;Q
126184977637,60388;0,27289604499936104;7169,661813834682;41,879514729604125;470,80940628424287;1,088339723700285e-05;0,06000000276579786;12,181216338137165;1,4627491859458388;1,6022036779671907;0,06140276437997818;0,05523304559290409;0,0613308462202549;0,06028074251487851;0,037775114215910434;0,04323136442154646;0,23342944144457578;0,2390750623717904;2;0,037696082845330235;18;0,03267960151657462;0,7602035987749696;0,8313058420270681;0,2734342246502638;0,6567617478221656;1,0047909768298269;21,077958061918615;10,97233502753079;9081,530207768083;107,71766290068626
125957069220,02136;0,32963041914626956;6723,115542624146;44,619152563624084;425,9165796004236;1,0556009398199618e-05;0,06000000528769606;11,814084012946115;1,2815618148073555;1,4267089845612646;0,06396041341871023;0,06556131220981479;0,05404135572910309;0,05497685237601399;0,03957337617874145;0,03904929700493812;0,2358683498352766;0,22609352761879564;3;0,03669030230492353;18;0,02871051003970206;0,846306262910366;0,8803701960295438;0,31280111834406854;0,5785590584948659;1,0460212405771019;22,6534941053018;10,207536144182086;9876,622915267944;108,11927760019898
115524719748,64603;0,28610987612977623;7805,466694198549;47,22185086179525;497,16036722809076;1,2217393804781138e-05;0,060000003574264944;10,989094102289528;1,5395921204052865;1,5883693372830747;0,059793515793979166;0,056214502707123755;0,06091952266171575;0,06337266178429127;0,04360443242639303;0,04173320057988167;0,21362149892002344;0,20029906149581075;2;0,04336000350117683;19;0,03299675381742418;0,9295368010364472;0,8373384774476289;0,2918728618137539;0,6341837856173516;0,9218141244724393;20,122784543596207;9,811405073851347;10432,611109688878;90,33596336841583
121367107238,62051;0,3138971802033484;7115,17567364499;40,847372780554;462,1750889159739;1,2652400332935154e-05;0,060000009258250574;11,200698890304192;1,4893173085451126;1,5744612185284494;0,055479491785168644;0,0595756119042635;0,057363378178328275;0,05785955407842994;0,041142594248056406;0,03774089107662439;0,19901330999284983;0,23184881664067508;2;0,03993729209154844;17;0,03046604722738266;0,7867989088222385;0,9140125975385308;0,3167656040936709;0,620757841989398;1,0750646222382785;19,441275572776792;10,876914635300636;10893,905395641923;100,39704654365778
132614683592,69202;0,27037672279402614;7481,375313177705;47,38962672371417;437,0937905907631;1,1311126984141766e-05;0,06000000194822467;12,776349693071097;1,373976029355079;1,4128031009808184;0,06226951079070568;0,06222222180292011;0,06397202528268099;0,06006804645806551;0,037175626032054425;0,04304111836105585;0,22057331131398678;0,21637188559025528;3;0,04001337870955467;18;0,027861844975501298;0,8821583417989314;0,7809320600703359;0,28037499150261286;0,5657337003573776;0,9508334750309587;21,241808000206948;9,10504643805325;9414,111964404583;98,02393911406398
135785651253,53635;0,30588643681257965;7678,73097169213;49,06829740293324;458,1071513257921;1,0873044512972236e-05;0,06000000773890345;11,565271222544833;1,4433846301473678;1,6440633586607873;0,05698498283699155;0,06080685568973422;0,05871029086410999;0,06477790374308826;0,036098247744143004;0,04253249011188745;0,22660804567486048;0,21011337763443588;2;0,037468278519809245;18;0,02925590929761529;0,7652812703885138;0,7862952794879675;0,27582158798351886;0,6121190674602985;1,0596540842205286;20,606435196474195;10,486277850344777;9749,404205009341;103,25234074145555
124342360068,11261;0,2783913566172123;6589,312236057594;42,52611430361867;481,90506545454264;1,1920960195749997e-05;0,060000001045008355;12,337764799688012;1,4176968833059074;1,4823616529814898;0,060763284523040056;0,05740659655630589;0,06557821488752962;0,05656794687733054;0,04006765930354595;0,03624800059944391;0,2036307907551527;0,2379488629885018;3;0,04260741516947746;19;0,03204852251708508;0,8585351320728659;0,9200782499462365;0,3269773673638702;0,5416189155355097;0,9854469696059823;22,152680637314916;9,526941061019897;10191,607605665922;95,78143132850528
118500329088,41968;0,3216162425279617;7258,351965015754;45,54324665106833;493,644327852875;1,2365123000100254e-05;0,06000000672882221;12,128168063936755;1,3227655343823135;1,354760858695954;0,06545491809770465;0,05481462080776692;0,055657685246318575;0,061660604014992716;0,04268528778105974;0,04022419682145118;0,21995974515378475;0,2038424835279584;3;0,03815876584500074;17;0,03139101993106306;0,8240745352767408;0,8200262529030442;0,2947851827926934;0,5886626799032092;1,0176952701061965;21,72545468676835;10,660657431930304;10731,99962452054;105,88666955009103
129127684095,87442;0,29412107672542337;6896,40999273397;42,94034453853965;423,9976725578308;1,1582380927503108e-05;0,06000000439929844;10,600997490156441;1,4917056610658765;1,516469198372215;0,05829974065348506;0,06342094178125263;0,06225606655329466;0,05926333012059331;0,038652768626809116;0,03855580547451973;0,24087519244104622;0,22273543315380812;2;0,04176651707291603;18;0,027292829314246772;0,9066057078540325;0,8637590419128537;0,30048043806105856;0,658825918212533;0,9434641214087606;18,940442116744816;9,327055988833308;9209,740987047553;93,20089027285576
130449961405,24745;0,3108137249015272;7359,186339145526;41,68585516512394;501,00709392130375;1,127199638569355e-05;0,060000008726252725;11,625202476466075;1,4305965736322106;1,4031721950508655;0,057386464510113;0,0649822018481791;0,06492855877429247;0,06239564668759704;0,04191693232953548;0,04245099056512117;0,20103909783437848;0,2176917951218784;2;0,03940641584247351;18;0,031857869854196905;0,8071954281441868;0,7953189891763032;0,3228122613206506;0,5767507279291749;0,910864281654358;22,454144593141976;9,69024071469903;10577,2490426898;104,5089590549469
115720853814,85522;0,2749103693850339;6998,947837809101;48,784088691696525;432,80676229670644;1,2833609892144799e-05;0,060000000145475164;12,57160147484392;1,3861187887862325;1,546007010061294;0,06486839527264238;0,056429347671568396;0,05973496253415942;0,05851148752123118;0,037885876573622225;0,03676699329167604;0,22397340744361283;0,23590269681438802;3;0,04051788759231567;19;0,029821584859862926;0,9011469075828791;0,9322330899722874;0,2724845759756863;0,6397417299449444;1,0350958121940494;20,850479154847562;10,289714163169265;9113,576048985124;97,03831696882844
122344517009,33278;0,3250820309109986;7757,262926874682;43,78499760478735;444,6346399411559;1,210545073595643e-05;0,06000000707945923;12,197144502261654;1,336533003333956;1,5980014239437876;0,06017802479490638;0,058974448777735236;0,06215732331946493;0,06551290081813932;0,039363126114010806;0,040758814632892604;0,23239174782857297;0,20162433154881002;3;0,03621605154126882;17;0,02747733685746789;0,7823169782944024;0,8064075118117034;0,30381195556372403;0,622698008492589;0,9680330701172353;19,369054470956325;9,398192489519715;9591,70818515122;107,13340817019343
136326299328,35698;0,28917876100167633;6668,840000079945;45,82306143455207;466,9869326464832;1,0809726189181208e-05;0,06000000413678037;10,825824839062989;1,5223217617720366;1,4551642307080328;0,05607004296407103;0,06241499111428857;0,05688168436288834;0,055816058322787285;0,0433300938680768;0,038458681046962734;0,21151928781345486;0,23014202612638474;2;0,04385866838693618;18;0,030831489488482477;0,8641395414248109;0,8533812407962977;0,29895944366231564;0,5600439200922848;1,092239803634584;21,834147043526173;10,622907273471355;10100,341200828552;94,44797191768885
