F_total_int,F_total_ext,Q_total_int,Q_total_ext,P_mean_int,P_mean_ext,P_max_int,P_max_ext,P_sd_int,P_sd_ext,h_min_int,h_min_ext,h_mean_int,h_mean_ext,h_max_int,h_max_ext,h_sd_int,h_sd_ext
467377.4334524562,1061973.8337144712,2.0912593258909848e-05,5.456560702518225e-05,913889.2629209246,491354.8469874528,2357272.950821258,1877412.576365943,957503.5672394858,774936.54794787,3.3284534206412e-05,2.947115269064741e-05,3.652659543229366e-05,3.614305328443032e-05,3.953843102456759e-05,4.425413295680793e-05,1.6721514961938315e-06,3.4115576972873088e-06
205024.64643259608,416369.1063717122,5.879090106255753e-05,9.576080650063862e-05,324215.6398059644,170170.86998177326,780891.6183142184,571167.5368935806,340209.25131144363,243289.82744376315,6.242387451279589e-05,5.552537631972641e-05,6.345510931348988e-05,5.77130566999666e-05,6.429502689596525e-05,5.963173867021548e-05,4.797747839961796e-07,9.94245145005664e-07
238676.03347465108,377805.1131370785,0.0001279451604548,0.0001202773598759,433046.52643362107,205404.45538596823,1018745.4695442184,781408.0806557582,431454.5888600975,303122.6084675641,7.856955462919585e-05,6.109086754207668e-05,8.0093497123779e-05,6.516192167589833e-05,8.122379437226182e-05,6.907964453957623e-05,6.670609863990302e-07,1.8148076786924468e-06
460184.7402874813,1107859.3539041346,3.580370093130716e-05,0.0001117351968255,709724.5030920509,453071.9711489764,1608291.8598177328,956137.1181044067,709229.6919290489,452337.8796829684,3.81524263035674e-05,4.1557546238228574e-05,4.039091668688308e-05,4.5472114158940406e-05,4.201338198633555e-05,4.929498284042668e-05,9.371617586162106e-07,1.658718927867464e-06
489166.7710645814,1092459.212636236,4.026694799896417e-05,7.382968430611668e-05,934666.0977013822,488117.27335408377,2519840.0840019034,1037289.5577731192,1043196.603854066,452902.5029018713,4.198275660296325e-05,3.787158401168662e-05,4.543617198209942e-05,4.394384994039119e-05,4.865353412629895e-05,4.910912387453575e-05,1.876207955373989e-06,2.561047116762067e-06
369713.2439536229,1020314.4557862852,1.5588367635731e-05,0.0001913079005899,699729.004323287,418087.8434432548,2149801.663011398,707014.9430482537,902784.5844127788,336952.6897763168,2.841344341151233e-05,4.17391273734956e-05,3.123113792231801e-05,4.536034100000179e-05,3.421727345123989e-05,4.80389898207433e-05,1.6764850127114183e-06,1.451514663788292e-06
369034.77439512353,612866.5227715714,0.0001294934389927,0.0001717815190223,631181.2285606784,259817.4539074416,1540009.7385103223,507813.6938205728,647244.6129024551,246404.15164600764,6.812318300796136e-05,4.859753938267467e-05,7.01777362256606e-05,5.03543801392931e-05,7.189624519019678e-05,5.2157505162006087e-05,9.595912217718254e-07,7.052632709649213e-07
246853.6853824491,933830.5460280348,2.4134613375220396e-05,0.0004916337322971,478443.5880519429,364392.2320849447,1666641.2091141194,734331.7246311324,690659.1447644685,335716.9686822718,4.152446614111546e-05,6.909869867766644e-05,4.333348634256988e-05,7.286965456834555e-05,4.5832673821581286e-05,7.62502834222537e-05,1.2613083538290807e-06,1.6348138505994186e-06
185748.35939242027,487713.8869272137,3.037771593300642e-05,8.323942820510624e-05,358265.5177621557,239163.2891908385,1160003.2288598197,783622.6393002283,491471.2037350605,323891.59174355405,4.840088142892989e-05,5.075759427923613e-05,4.990742253178087e-05,5.396946360740898e-05,5.172108231922084e-05,5.741644718883829e-05,9.39665132770005e-07,1.4836519697730891e-06
194921.66232230375,481643.87299137627,6.589820284255876e-05,9.560642541076731e-05,312605.0272760765,207869.53774448152,673074.5205635818,599573.9463468884,324555.2720611697,265730.1187379789,4.967512605503749e-05,5.0108700238003326e-05,5.0725186902641374e-05,5.247830913865225e-05,5.144625838704664e-05,5.5077090384708095e-05,4.673885183280729e-07,1.145533146519174e-06
442573.6430331869,1129275.310198096,7.789422333713082e-05,0.0001589210255366,748569.8977899549,513621.1119590467,1522018.3308745194,1120396.75213493,733393.4547923269,481066.868691195,3.981917600623572e-05,4.80635040428798e-05,4.216403928989816e-05,5.325720366231508e-05,4.3725029278309925e-05,5.712111618962506e-05,1.0262766939894235e-06,1.9021331195200693e-06
111037.86473252604,510677.8402747571,4.546501566720126e-05,0.0004560648197472,186121.5274924567,218740.9443357564,379073.60445986304,437668.1953869231,181721.10370964688,212430.6754576236,5.310856836743968e-05,7.084299916146729e-05,5.35842384993359e-05,7.347953675643294e-05,5.3977506550563046e-05,7.522317753790433e-05,2.440489056214345e-07,9.330342416517882e-07
138597.39294633744,491434.57558328286,3.5781609449979566e-05,0.0002864838512033,276608.5805040137,224874.1353340532,885812.3745587295,781429.7416158615,341997.89561808115,326179.8821225489,6.161687698918586e-05,7.246668624853165e-05,6.268425096731105e-05,7.564039547264985e-05,6.392393429385783e-05,7.80567788289137e-05,6.337779351415583e-07,1.3094342057707964e-06
395466.26357875584,1181735.98038853,-6.161811374130962e-08,0.0001295384148032,893269.1531082877,532407.0773731966,3007153.711391857,1334718.24982773,1154614.7489775128,633404.4597382437,8.14512448359158e-06,2.740943834036141e-05,1.190242493917042e-05,3.4402393046301906e-05,1.65790696262875e-05,3.93182975527766e-05,2.4190050992454363e-06,2.8106237692387315e-06
